Comune;Provincia;Regione;Nome;Identificatore in OpenStreetMap;Anno inserimento;Data e ora inserimento;Longitudine;Latitudine
GAVORRANO;GROSSETO;Toscana;Via Mameli;1655763386;2012;2012-03-02T10:06:29Z;10.8884609;42.9369674
GROSSETO;GROSSETO;Toscana;;1384480490;2011;2011-08-03T13:59:21Z;11.1904506;42.7818710999999
GROSSETO;GROSSETO;Toscana;;1385281100;2011;2011-08-03T21:36:25Z;11.1129522;42.758476
GROSSETO;GROSSETO;Toscana;;1385281107;2011;2011-08-03T21:36:25Z;11.1153745;42.7587137
GROSSETO;GROSSETO;Toscana;;1385281159;2014;2014-12-02T15:17:02Z;11.1179764999999;42.7602295
GROSSETO;GROSSETO;Toscana;;1916888691;2012;2012-09-16T10:46:44Z;11.114393;42.7692393999999
GROSSETO;GROSSETO;Toscana;;2310934336;2013;2013-05-19T10:07:00Z;11.1911901999999;42.7832662
GROSSETO;GROSSETO;Toscana;;293396744;2010;2010-10-04T20:16:40Z;11.1072266;42.7674917
GROSSETO;GROSSETO;Toscana;;3215890501;2014;2014-12-02T15:17:01Z;11.1181747;42.7612792999999
GROSSETO;GROSSETO;Toscana;;3642216825;2015;2015-07-09T09:26:42Z;11.1245558;42.7622575999999
GROSSETO;GROSSETO;Toscana;;779045998;2010;2010-06-21T10:35:28Z;10.964607;42.7315935999999
GROSSETO;GROSSETO;Toscana;;779046377;2010;2010-06-21T10:35:39Z;10.9681575;42.7298914
GROSSETO;GROSSETO;Toscana;Aeroporto;980049986;2010;2010-11-07T05:09:29Z;11.0834153;42.7631029
ISOLA DEL GIGLIO;GROSSETO;Toscana;;1792663566;2012;2012-06-18T03:54:59Z;10.878837;42.3652789
ISOLA DEL GIGLIO;GROSSETO;Toscana;;3621794241;2015;2015-06-27T14:04:04Z;10.8999514;42.3672887
MAGLIANO IN TOSCANA;GROSSETO;Toscana;;3642184764;2015;2015-07-09T09:25:54Z;11.2837513;42.6771302
